"col0","col1","col2","col3","col4","col5","col6"
"str",1,2,105,105,"socket_server_send_reply","/home/runner/work/vim/vim/src/proto/os_unix.pro"
"str",1,3,103,103,"socket_server_read_reply","/home/runner/work/vim/vim/src/proto/os_unix.pro"
"str",1,7,102,102,"socket_server_send","/home/runner/work/vim/vim/src/proto/os_unix.pro"
"type",0,3,273,273,"arg_any","/home/runner/work/vim/vim/src/evalfunc.c"
"type",0,3,931,931,"varargs_class","/home/runner/work/vim/vim/src/evalfunc.c"
"type",2,4,120,120,"setpenattr","/home/runner/work/vim/vim/src/libvterm/src/pen.c"
"user",0,1,3634,3634,"handle_bell","/home/runner/work/vim/vim/src/terminal.c"
"attr",0,1,93,93,"update_tcap","/home/runner/work/vim/vim/src/proto/term.pro"
"state",1,2,2461,2461,"netbeans_beval_cb","/home/runner/work/vim/vim/src/netbeans.c"
"state",2,3,6,6,"register_cfunc","/home/runner/work/vim/vim/src/proto/userfunc.pro"
"state",5,6,2632,2632,"clip_wl_fs_keyboard_listener_key","/home/runner/work/vim/vim/src/clipboard.c"
"buffer",1,2,2504,2504,"wl_buffer_listener_release","/home/runner/work/vim/vim/src/clipboard.c"
"buffer",1,3,59,59,"gui_find_iconfile","/home/runner/work/vim/vim/src/proto/gui.pro"
"key",4,6,2632,2632,"clip_wl_fs_keyboard_listener_key","/home/runner/work/vim/vim/src/clipboard.c"
"win",0,1,59,59,"win_find_tabpage","/home/runner/work/vim/vim/src/proto/window.pro"
"tp",0,1,104,104,"get_tab_number","/home/runner/work/vim/vim/src/proto/window.pro"
"fname",0,1,4,4,"is_dev_fd_file","/home/runner/work/vim/vim/src/proto/fileio.pro"
"fname",0,1,39,39,"forward_slash","/home/runner/work/vim/vim/src/proto/fileio.pro"
"fname",2,3,4683,4683,"buf_store_time","/home/runner/work/vim/vim/src/fileio.c"
"fnum_list",0,2,6,6,"alist_expand","/home/runner/work/vim/vim/src/proto/arglist.pro"
"fnum_len",1,2,6,6,"alist_expand","/home/runner/work/vim/vim/src/proto/arglist.pro"
"offer",1,3,1288,1288,"ext_data_control_offer_v1_listener_event_offer","/home/runner/work/vim/vim/src/wayland.c"
"offer",1,3,1289,1289,"zwlr_data_control_offer_v1_listener_event_offer","/home/runner/work/vim/vim/src/wayland.c"
"offer",1,3,1291,1291,"wl_data_offer_listener_event_offer","/home/runner/work/vim/vim/src/wayland.c"
"offer",1,3,1292,1292,"zwp_primary_selection_offer_v1_listener_event_offer","/home/runner/work/vim/vim/src/wayland.c"
"offer",1,3,2772,2772,"wl_data_offer_listener_event_offer","/home/runner/work/vim/vim/src/clipboard.c"
"offer",2,3,1158,1160,"ext_data_control_device_v1_listener_event_selection","/home/runner/work/vim/vim/src/wayland.c"
"offer",2,3,1161,1163,"zwlr_data_control_device_v1_listener_event_selection","/home/runner/work/vim/vim/src/wayland.c"
"offer",2,3,1164,1166,"ext_data_control_device_v1_listener_event_primary_selection","/home/runner/work/vim/vim/src/wayland.c"
"offer",2,3,1167,1169,"zwlr_data_control_device_v1_listener_event_primary_selection","/home/runner/work/vim/vim/src/wayland.c"
"offer",2,3,1171,1173,"wl_data_device_listener_event_selection","/home/runner/work/vim/vim/src/wayland.c"
"offer",2,3,1174,1175,"zwp_primary_selection_device_v1_listener_event_primary_selection","/home/runner/work/vim/vim/src/wayland.c"
"off",0,2,1744,1744,"latin_off2cells","/home/runner/work/vim/vim/src/mbyte.c"
"end",1,3,3076,3076,"st_error","/home/runner/work/vim/vim/src/regexp_nfa.c"
"argv",1,2,1798,1798,"mch_check_win","/home/runner/work/vim/vim/src/os_unix.c"
"argc",0,2,1798,1798,"mch_check_win","/home/runner/work/vim/vim/src/os_unix.c"
"argc",0,4,2023,2023,"fill_submatch_list","/home/runner/work/vim/vim/src/regexp.c"
"name",0,1,26,26,"vim_is_vt300","/home/runner/work/vim/vim/src/proto/os_unix.pro"
"name",0,1,78,78,"encname2codepage","/home/runner/work/vim/vim/src/proto/mbyte.pro"
"name",0,1,97,97,"socket_server_init","/home/runner/work/vim/vim/src/proto/os_unix.pro"
"name",0,1,3476,3476,"mch_hide","/home/runner/work/vim/vim/src/os_unix.c"
"name",0,2,35,35,"fname_case","/home/runner/work/vim/vim/src/proto/os_unix.pro"
"name",0,2,46,46,"vim_stat","/home/runner/work/vim/vim/src/proto/misc2.pro"
"name",0,2,59,59,"get_expanded_name","/home/runner/work/vim/vim/src/proto/userfunc.pro"
"name",0,2,120,120,"unset_global_local_option","/home/runner/work/vim/vim/src/proto/option.pro"
"name",0,3,28,28,"mzscheme_call_vim","/home/runner/work/vim/vim/src/proto/evalfunc.pro"
"name",0,3,59,59,"gui_find_iconfile","/home/runner/work/vim/vim/src/proto/gui.pro"
"name",0,5,99,99,"get_option_value_strict","/home/runner/work/vim/vim/src/proto/option.pro"
"name",0,7,102,102,"socket_server_send","/home/runner/work/vim/vim/src/proto/os_unix.pro"
"name",1,2,5420,5420,"gui_mch_get_fontname","/home/runner/work/vim/vim/src/gui_gtk_x11.c"
"name",2,3,385,385,"wl_registry_listener_event_global_remove","/home/runner/work/vim/vim/src/wayland.c"
"arg",0,1,64,64,"gui_start","/home/runner/work/vim/vim/src/gui.c"
"arg",2,3,86,86,"crypt_zip_init","/home/runner/work/vim/vim/src/crypt_zip.c"
"extra_char",0,2,5318,5318,"vim_tempname","/home/runner/work/vim/vim/src/fileio.c"
"msg",0,1,11,11,"do_perror","/home/runner/work/vim/vim/src/proto/message.pro"
"ptr",0,1,18,18,"get_win_fio_flags","/home/runner/work/vim/vim/src/proto/fileio.pro"
"ptr",0,1,19,19,"get_mac_fio_flags","/home/runner/work/vim/vim/src/proto/fileio.pro"
"ptr",0,2,11,11,"mem_realloc","/home/runner/work/vim/vim/src/proto/alloc.pro"
"user_data",2,3,749,749,"draw_event","/home/runner/work/vim/vim/src/gui_gtk_x11.c"
"user_data",2,3,786,786,"scale_factor_event","/home/runner/work/vim/vim/src/gui_gtk_x11.c"
"user_data",2,3,1395,1395,"selection_clear_event","/home/runner/work/vim/vim/src/gui_gtk_x11.c"
"user_data",3,4,1416,1416,"selection_received_cb","/home/runner/work/vim/vim/src/gui_gtk_x11.c"
"user_data",3,4,2689,2689,"recent_func_log_func","/home/runner/work/vim/vim/src/gui_gtk.c"
"user_data",4,5,1527,1527,"selection_get_cb","/home/runner/work/vim/vim/src/gui_gtk_x11.c"
"user_data",4,5,1970,1970,"popup_menu_position_func","/home/runner/work/vim/vim/src/gui_gtk.c"
"user_data",7,8,2344,2344,"drag_data_received_cb","/home/runner/work/vim/vim/src/gui_gtk_x11.c"
"lnum",0,3,4416,4416,"expand_spelling","/home/runner/work/vim/vim/src/spell.c"
"base",0,2,3914,3914,"latin_head_off","/home/runner/work/vim/vim/src/mbyte.c"
"source",0,3,2546,2546,"local_xsmp_handle_requests","/home/runner/work/vim/vim/src/gui_gtk_x11.c"
"source",1,2,1236,1236,"ext_data_control_source_v1_listener_event_cancelled","/home/runner/work/vim/vim/src/wayland.c"
"source",1,2,1237,1237,"zwlr_data_control_source_v1_listener_event_cancelled","/home/runner/work/vim/vim/src/wayland.c"
"source",1,2,1239,1239,"wl_data_source_listener_event_cancelled","/home/runner/work/vim/vim/src/wayland.c"
"source",1,2,1240,1240,"zwp_primary_selection_source_v1_listener_event_cancelled","/home/runner/work/vim/vim/src/wayland.c"
"source",1,2,3295,3295,"vwl_data_source_listener_event_cancelled","/home/runner/work/vim/vim/src/clipboard.c"
"source",1,4,1229,1229,"ext_data_control_source_v1_listener_event_send","/home/runner/work/vim/vim/src/wayland.c"
"source",1,4,1230,1230,"zwlr_data_control_source_v1_listener_event_send","/home/runner/work/vim/vim/src/wayland.c"
"source",1,4,1232,1232,"wl_data_source_listener_event_send","/home/runner/work/vim/vim/src/wayland.c"
"source",1,4,1233,1233,"zwp_primary_selection_source_v1_listener_event_send","/home/runner/work/vim/vim/src/wayland.c"
"source",1,4,3205,3205,"vwl_data_source_listener_event_send","/home/runner/work/vim/vim/src/clipboard.c"
"format",2,5,2632,2632,"clip_wl_fs_keyboard_listener_keymap","/home/runner/work/vim/vim/src/clipboard.c"
"s1",0,2,16,16,"vim_stricmp","/home/runner/work/vim/vim/src/proto/strings.pro"
"s1",0,3,17,17,"vim_strnicmp","/home/runner/work/vim/vim/src/proto/strings.pro"
"s2",1,2,16,16,"vim_stricmp","/home/runner/work/vim/vim/src/proto/strings.pro"
"s2",1,3,17,17,"vim_strnicmp","/home/runner/work/vim/vim/src/proto/strings.pro"
"d",0,2,5,5,"set_ref_in_dict","/home/runner/work/vim/vim/src/proto/gc.pro"
"silent",6,7,102,102,"socket_server_send","/home/runner/work/vim/vim/src/proto/os_unix.pro"
"cb",0,3,6,6,"register_cfunc","/home/runner/work/vim/vim/src/proto/userfunc.pro"
"ext",2,3,59,59,"gui_find_iconfile","/home/runner/work/vim/vim/src/proto/gui.pro"
"ext",3,6,1248,1248,"gui_mch_browse","/home/runner/work/vim/vim/src/gui_gtk.c"
"result",2,7,102,102,"socket_server_send","/home/runner/work/vim/vim/src/proto/os_unix.pro"
"sel_atom",1,3,1730,1730,"clip_x11_notify_cb","/home/runner/work/vim/vim/src/clipboard.c"
"object",0,2,4356,4356,"mainwin_destroy_cb","/home/runner/work/vim/vim/src/gui_gtk_x11.c"
"pspec",1,3,785,785,"scale_factor_event","/home/runner/work/vim/vim/src/gui_gtk_x11.c"
"pspec",1,3,873,873,"gtk_settings_xft_dpi_changed_cb","/home/runner/work/vim/vim/src/gui_gtk_x11.c"
"data",0,1,974,974,"blink_cb","/home/runner/work/vim/vim/src/gui_gtk_x11.c"
"data",0,1,1890,1890,"motion_repeat_timer_cb","/home/runner/work/vim/vim/src/gui_gtk_x11.c"
"data",0,1,4472,4472,"check_startup_plug_hints","/home/runner/work/vim/vim/src/gui_gtk_x11.c"
