called,args,parent,file
alloc,1,channel_get_all,/home/runner/work/vim/vim/src/channel.c
alloc,1,cin_isscopedecl,/home/runner/work/vim/vim/src/cindent.c
alloc,1,cin_is_cinword,/home/runner/work/vim/vim/src/cindent.c
memset,3,channel_exe_cmd,/home/runner/work/vim/vim/src/channel.c
emsg,1,channel_exe_cmd,/home/runner/work/vim/vim/src/channel.c
emsg,1,f_server2client,/home/runner/work/vim/vim/src/clientserver.c
emsg,1,f_remote_startserver,/home/runner/work/vim/vim/src/clientserver.c
emsg,1,f_remote_read,/home/runner/work/vim/vim/src/clientserver.c
emsg,1,remote_common,/home/runner/work/vim/vim/src/clientserver.c
emsg,1,check_connection,/home/runner/work/vim/vim/src/clientserver.c
dcgettext,3,channel_exe_cmd,/home/runner/work/vim/vim/src/channel.c
dcgettext,3,f_server2client,/home/runner/work/vim/vim/src/clientserver.c
dcgettext,3,f_remote_startserver,/home/runner/work/vim/vim/src/clientserver.c
dcgettext,3,f_remote_read,/home/runner/work/vim/vim/src/clientserver.c
dcgettext,3,remote_common,/home/runner/work/vim/vim/src/clientserver.c
dcgettext,3,check_connection,/home/runner/work/vim/vim/src/clientserver.c
ga_init2,3,channel_add_block_id,/home/runner/work/vim/vim/src/channel.c
ml_get,1,read_buffer,/home/runner/work/vim/vim/src/buffer.c
ml_get,1,cin_iswhileofdo_end,/home/runner/work/vim/vim/src/cindent.c
ml_get,1,cin_isfuncdecl,/home/runner/work/vim/vim/src/cindent.c
ml_get,1,cin_skip2pos,/home/runner/work/vim/vim/src/cindent.c
ml_get,1,cin_get_equal_amount,/home/runner/work/vim/vim/src/cindent.c
ml_get,1,get_indent_nolabel,/home/runner/work/vim/vim/src/cindent.c
ml_get,1,cin_ispreproc_cont,/home/runner/work/vim/vim/src/cindent.c
ml_get,1,find_line_comment,/home/runner/work/vim/vim/src/cindent.c
ml_get,1,find_start_rawstring,/home/runner/work/vim/vim/src/cindent.c
ml_get,1,find_start_comment,/home/runner/work/vim/vim/src/cindent.c
semsg,2,channel_exe_cmd,/home/runner/work/vim/vim/src/channel.c
semsg,2,remote_common,/home/runner/work/vim/vim/src/clientserver.c
iemsg,1,invoke_callback,/home/runner/work/vim/vim/src/channel.c
bufref_valid,1,open_buffer,/home/runner/work/vim/vim/src/buffer.c
strncmp,3,cin_isbreak,/home/runner/work/vim/vim/src/cindent.c
strncmp,3,cin_is_if_for_while_before_offset,/home/runner/work/vim/vim/src/cindent.c
strncmp,3,cin_isdo,/home/runner/work/vim/vim/src/cindent.c
strncmp,3,cin_isif,/home/runner/work/vim/vim/src/cindent.c
strncmp,3,cin_first_id_amount,/home/runner/work/vim/vim/src/cindent.c
strncmp,3,cin_is_cpp_extern_c,/home/runner/work/vim/vim/src/cindent.c
strncmp,3,cin_is_cpp_namespace,/home/runner/work/vim/vim/src/cindent.c
strncmp,3,cin_is_compound_init,/home/runner/work/vim/vim/src/cindent.c
strncmp,3,cin_ends_in,/home/runner/work/vim/vim/src/cindent.c
strncmp,3,cin_isdefault,/home/runner/work/vim/vim/src/cindent.c
strncmp,3,cin_starts_with,/home/runner/work/vim/vim/src/cindent.c
strncmp,3,cin_iselse,/home/runner/work/vim/vim/src/cindent.c
strncmp,3,cin_isscopedecl,/home/runner/work/vim/vim/src/cindent.c
strncmp,3,skip_string,/home/runner/work/vim/vim/src/cindent.c
strncmp,3,cin_is_cinword,/home/runner/work/vim/vim/src/cindent.c
strcmp,2,channel_exe_cmd,/home/runner/work/vim/vim/src/channel.c
skipwhite,1,cin_iswhileofdo_end,/home/runner/work/vim/vim/src/cindent.c
skipwhite,1,cin_isfuncdecl,/home/runner/work/vim/vim/src/cindent.c
skipwhite,1,cin_get_equal_amount,/home/runner/work/vim/vim/src/cindent.c
skipwhite,1,cin_first_id_amount,/home/runner/work/vim/vim/src/cindent.c
skipwhite,1,cin_is_cpp_extern_c,/home/runner/work/vim/vim/src/cindent.c
skipwhite,1,cin_is_cpp_namespace,/home/runner/work/vim/vim/src/cindent.c
skipwhite,1,cin_ends_in,/home/runner/work/vim/vim/src/cindent.c
skipwhite,1,cin_ispreproc,/home/runner/work/vim/vim/src/cindent.c
skipwhite,1,cin_has_js_key,/home/runner/work/vim/vim/src/cindent.c
skipwhite,1,find_line_comment,/home/runner/work/vim/vim/src/cindent.c
skipwhite,1,cin_skipcomment,/home/runner/work/vim/vim/src/cindent.c
skipwhite,1,cin_is_cinword,/home/runner/work/vim/vim/src/cindent.c
ch_error,2,append_to_buffer,/home/runner/work/vim/vim/src/channel.c
ch_error,2,channel_exe_cmd,/home/runner/work/vim/vim/src/channel.c
ch_error,2,channel_parse_json,/home/runner/work/vim/vim/src/channel.c
ch_error,3,channel_exe_cmd,/home/runner/work/vim/vim/src/channel.c
ch_error,3,channel_parse_json,/home/runner/work/vim/vim/src/channel.c
ch_log,2,channel_exe_cmd,/home/runner/work/vim/vim/src/channel.c
ch_log,2,channel_parse_json,/home/runner/work/vim/vim/src/channel.c
ch_log,3,drop_messages,/home/runner/work/vim/vim/src/channel.c
ch_log,3,invoke_one_time_callback,/home/runner/work/vim/vim/src/channel.c
ch_log,3,channel_exe_cmd,/home/runner/work/vim/vim/src/channel.c
ch_log,3,channel_get_json,/home/runner/work/vim/vim/src/channel.c
ch_log,3,channel_parse_json,/home/runner/work/vim/vim/src/channel.c
ch_log,3,channel_buffer_free,/home/runner/work/vim/vim/src/channel.c
ch_log,4,append_to_buffer,/home/runner/work/vim/vim/src/channel.c
siemsg,2,channel_remove_block_id,/home/runner/work/vim/vim/src/channel.c
dict_has_key,2,channel_get_json,/home/runner/work/vim/vim/src/channel.c
dict_find,3,channel_get_json,/home/runner/work/vim/vim/src/channel.c
range_list_materialize,1,channel_get_json,/home/runner/work/vim/vim/src/channel.c
vim_strchr,2,open_buffer,/home/runner/work/vim/vim/src/buffer.c
vim_strchr,2,cin_get_equal_amount,/home/runner/work/vim/vim/src/cindent.c
vim_strchr,2,skip_string,/home/runner/work/vim/vim/src/cindent.c
clear_tv,1,channel_exe_cmd,/home/runner/work/vim/vim/src/channel.c
clear_tv,1,channel_push_json,/home/runner/work/vim/vim/src/channel.c
clear_tv,1,channel_parse_json,/home/runner/work/vim/vim/src/channel.c
clear_tv,1,invoke_callback,/home/runner/work/vim/vim/src/channel.c
sprintf,3,remote_common,/home/runner/work/vim/vim/src/clientserver.c
get_vim_var_str,1,channel_exe_cmd,/home/runner/work/vim/vim/src/channel.c
aborting,0,open_buffer,/home/runner/work/vim/vim/src/buffer.c
aucmd_prepbuf,2,open_buffer,/home/runner/work/vim/vim/src/buffer.c
aucmd_prepbuf,2,buffer_ensure_loaded,/home/runner/work/vim/vim/src/buffer.c
aucmd_prepbuf,2,append_to_buffer,/home/runner/work/vim/vim/src/channel.c
readfile,7,read_buffer,/home/runner/work/vim/vim/src/buffer.c
aucmd_restbuf,1,open_buffer,/home/runner/work/vim/vim/src/buffer.c
aucmd_restbuf,1,buffer_ensure_loaded,/home/runner/work/vim/vim/src/buffer.c
aucmd_restbuf,1,append_to_buffer,/home/runner/work/vim/vim/src/channel.c
do_modelines,1,open_buffer,/home/runner/work/vim/vim/src/buffer.c
